id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
the-story-behind-mark-ronsons-hit-song-uptown-funk,The Story Behind Mark Ronson's Hit Song 'Uptown Funk',The Story Behind Mark Ronson's Hit Song 'Uptown Funk',,audio/the-story-behind-mark-ronsons-hit-song-uptown-funk.mp3,transcripts/text/the-story-behind-mark-ronsons-hit-song-uptown-funk.text,transcripts/vtt/the-story-behind-mark-ronsons-hit-song-uptown-funk.vtt,transcripts/json/the-story-behind-mark-ronsons-hit-song-uptown-funk.json
ansari-and-yang-explore-the-firstgeneration-experience-in-master-of-none,Ansari And Yang Explore The First-Generation Experience In 'Master Of None',Ansari And Yang Explore The First-Generation Experience In 'Master Of None',,audio/ansari-and-yang-explore-the-firstgeneration-experience-in-master-of-none.mp3,transcripts/text/ansari-and-yang-explore-the-firstgeneration-experience-in-master-of-none.text,transcripts/vtt/ansari-and-yang-explore-the-firstgeneration-experience-in-master-of-none.vtt,transcripts/json/ansari-and-yang-explore-the-firstgeneration-experience-in-master-of-none.json
at-81-feminist-gloria-steinem-finds-herself-free-of-the-demands-of-gender,"At 81, Feminist Gloria Steinem Finds Herself Free Of The 'Demands Of Gender'","At 81, Feminist Gloria Steinem Finds Herself Free Of The 'Demands Of Gender'",,audio/at-81-feminist-gloria-steinem-finds-herself-free-of-the-demands-of-gender.mp3,transcripts/text/at-81-feminist-gloria-steinem-finds-herself-free-of-the-demands-of-gender.text,transcripts/vtt/at-81-feminist-gloria-steinem-finds-herself-free-of-the-demands-of-gender.vtt,transcripts/json/at-81-feminist-gloria-steinem-finds-herself-free-of-the-demands-of-gender.json
actor-jeffrey-tambor-on-transparent-i-loved-it-from-the-very-beginning,Actor Jeffrey Tambor On Transparent': 'I Loved It From The Very Beginning',Actor Jeffrey Tambor On Transparent': 'I Loved It From The Very Beginning',,audio/actor-jeffrey-tambor-on-transparent-i-loved-it-from-the-very-beginning.mp3,transcripts/text/actor-jeffrey-tambor-on-transparent-i-loved-it-from-the-very-beginning.text,transcripts/vtt/actor-jeffrey-tambor-on-transparent-i-loved-it-from-the-very-beginning.vtt,transcripts/json/actor-jeffrey-tambor-on-transparent-i-loved-it-from-the-very-beginning.json
tanehisi-coates-on-police-brutality-the-confederate-flag-and-forgiveness,"Ta-Nehisi Coates On Police Brutality, The Confederate Flag And Forgiveness","Ta-Nehisi Coates On Police Brutality, The Confederate Flag And Forgiveness",,audio/tanehisi-coates-on-police-brutality-the-confederate-flag-and-forgiveness.mp3,transcripts/text/tanehisi-coates-on-police-brutality-the-confederate-flag-and-forgiveness.text,transcripts/vtt/tanehisi-coates-on-police-brutality-the-confederate-flag-and-forgiveness.vtt,transcripts/json/tanehisi-coates-on-police-brutality-the-confederate-flag-and-forgiveness.json
from-ferguson-to-the-16-election-larry-wilmores-nightly-show,From Ferguson To The '16 Election. Larry Wilmore's 'Nightly Show' Has Found Its Voice,From Ferguson To The '16 Election. Larry Wilmore's 'Nightly Show' Has Found Its Voice,,audio/from-ferguson-to-the-16-election-larry-wilmores-nightly-show.mp3,transcripts/text/from-ferguson-to-the-16-election-larry-wilmores-nightly-show.text,transcripts/vtt/from-ferguson-to-the-16-election-larry-wilmores-nightly-show.vtt,transcripts/json/from-ferguson-to-the-16-election-larry-wilmores-nightly-show.json
funny-or-die-creator-adam-mckay-takes-on-the-2008-economic-crash,Funny Or Die' Creator Adam McKay Takes On The 2008 Economic Crash In 'The Big Short',Funny Or Die' Creator Adam McKay Takes On The 2008 Economic Crash In 'The Big Short',,audio/funny-or-die-creator-adam-mckay-takes-on-the-2008-economic-crash.mp3,transcripts/text/funny-or-die-creator-adam-mckay-takes-on-the-2008-economic-crash.text,transcripts/vtt/funny-or-die-creator-adam-mckay-takes-on-the-2008-economic-crash.vtt,transcripts/json/funny-or-die-creator-adam-mckay-takes-on-the-2008-economic-crash.json
jennifer-lawrence-looks-back-on-a-careerchanging-yesorno-question,Jennifer Lawrence Looks Back On A Career-Changing 'Yes-Or-No Question',Jennifer Lawrence Looks Back On A Career-Changing 'Yes-Or-No Question',,audio/jennifer-lawrence-looks-back-on-a-careerchanging-yesorno-question.mp3,transcripts/text/jennifer-lawrence-looks-back-on-a-careerchanging-yesorno-question.text,transcripts/vtt/jennifer-lawrence-looks-back-on-a-careerchanging-yesorno-question.vtt,transcripts/json/jennifer-lawrence-looks-back-on-a-careerchanging-yesorno-question.json
son-of-saul-brings-viewers-to-the-heart-of-the-nazi-death-machine,Son Of Saul' Brings Viewers To The Heart Of The Nazi Death Machine At Auschwitz,Son Of Saul' Brings Viewers To The Heart Of The Nazi Death Machine At Auschwitz,,audio/son-of-saul-brings-viewers-to-the-heart-of-the-nazi-death-machine.mp3,transcripts/text/son-of-saul-brings-viewers-to-the-heart-of-the-nazi-death-machine.text,transcripts/vtt/son-of-saul-brings-viewers-to-the-heart-of-the-nazi-death-machine.vtt,transcripts/json/son-of-saul-brings-viewers-to-the-heart-of-the-nazi-death-machine.json
neil-gaiman-on-returning-to-sandman-talking-in-his-sleep,"Neil Gaiman On Returning To 'Sandman,' Talking In His Sleep And The Power Of Comics","Neil Gaiman On Returning To 'Sandman,' Talking In His Sleep And The Power Of Comics",,audio/neil-gaiman-on-returning-to-sandman-talking-in-his-sleep.mp3,transcripts/text/neil-gaiman-on-returning-to-sandman-talking-in-his-sleep.text,transcripts/vtt/neil-gaiman-on-returning-to-sandman-talking-in-his-sleep.vtt,transcripts/json/neil-gaiman-on-returning-to-sandman-talking-in-his-sleep.json
